Month,Financial_Year,Bank_Count,Transaction_Volume_Mn,Transaction_Value_Cr,Year,Month_Name,Month_Number
01-10-2024,2024-25,632,16584.97,2349821.46,2024,October,10
01-11-2024,2024-25,637,15482.02,2155187.4,2024,November,11
01-12-2024,2024-25,641,16730.01,2324699.91,2024,December,12
01-01-2025,2024-25,647,16996,2348037.12,2025,January,1
01-02-2025,2024-25,653,16106.19,2196481.69,2025,February,2
01-03-2025,2024-25,661,18301.51,2477221.61,2025,March,3
01-04-2025,2025-26,668,17893.42,2394925.87,2025,April,4
01-05-2025,2025-26,673,18677.46,2514297.01,2025,May,5
01-06-2025,2025-26,675,18395.01,2403930.69,2025,June,6
01-07-2025,2025-26,684,19467.95,2508498.09,2025,July,7
01-08-2025,2025-26,688,20008.31,2485472.91,2025,August,8
01-09-2025,2025-26,686,19633.43,2489736.54,2025,September,9
01-10-2025,2025-26,683,20700.92,2727790.68,2025,October,10
01-11-2025,2025-26,684,20466.98,2631632.63,2025,November,11
01-12-2025,2025-26,685,21634.67,2796712.73,2025,December,12
